,1. Do you know what IoT is?,2. Are you expert in IoT or Security?,3. How do you feel about 'IoT Security'?,"What is the reason for your choice in Question 3? Please tell us your feelings and ideas  about IoT Security in detail. (e.g. difficult, situation is getting worse, It has nothing to do with me, It's an important matter, etc.)"
2020/06/05 3:07:17 ?¤í›„ GMT+9,Yes,Yes,Negative,The human factor
2020/06/05 11:54:13 ?¤í›„ GMT+9,Yes,Yes,Negative,See my quora response
2020/06/06 12:08:03 ?¤ì „ GMT+9,Yes,No,Neutral,It seems important but I don't know what I have to do for it. It's difficult
2020/06/06 1:09:09 ?¤ì „ GMT+9,Yes,No,Negative,"I feel that a lot of IoT devices are insecure, either because they aren't configured properly or because they have weak or default passwords. Situation is getting worse."
2020/06/06 2:06:00 ?¤ì „ GMT+9,Yes,Yes,Neutral,Can't over simplify the epic generalisation going on here. 
2020/06/07 2:39:03 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,Because I don't know bout it
2020/06/07 2:40:18 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,"I don't know what is lot security, so I don't have any idea about it."
2020/06/07 3:05:51 ?¤í›„ GMT+9,No,Yes,Negative,"Not enough security in finished products, not enough awareness regarding the risks "
2020/06/07 3:06:48 ?¤í›„ GMT+9,Yes,No,Positive,"I think IoT is important in order to keep from financial losses or secure privacy. As the society changes, the importance of IoT Security is getting more crucial. However it feels like something hard to know and something for experts. I think the information/concept of IoT Security as well as perception of necessity should be easy to approach and more prevalent by easy education/classes for normal people."
2020/06/07 3:26:10 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,I've never heard about the word IoT before...
2020/06/07 3:31:08 ?¤í›„ GMT+9,Yes,Yes,Negative,difficult...too hard
2020/06/07 3:36:37 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,Cause I have no idea about it 
2020/06/07 3:37:59 ?¤í›„ GMT+9,Yes,Yes,Positive,Important
2020/06/07 3:44:53 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,I don?t know what that is....
2020/06/07 3:50:42 ?¤í›„ GMT+9,Maybe,No,Don't have any feelings or thoughts,Think I have a vague concept about IoT. I haven't searched or had any interest about IoT.
2020/06/07 7:16:09 ?¤í›„ GMT+9,Maybe,No,Positive,"Cause it's convenient.
Fun cool sexy:)"
2020/06/07 8:14:28 ?¤í›„ GMT+9,Yes,No,Positive,It's an important matter
2020/06/08 1:03:46 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,I don't know about it
2020/06/09 1:20:10 ?¤í›„ GMT+9,Yes,Yes,Negative,(a) security is not prioritized; (b) inadequate or no testing; (c) inadequate or no updates; (d) no common security standards; (e) inadequate or no laws regulating the above.
2020/06/09 2:42:46 ?¤í›„ GMT+9,Yes,No,Positive,Difficult but useful
2020/06/11 12:45:43 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,I have no idea about loT
2020/06/11 1:01:45 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,difficult
2020/06/11 1:07:32 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,I don't know
2020/06/11 1:08:13 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,I don't no
2020/06/11 1:08:55 ?¤í›„ GMT+9,No,No,Don't have any feelings or thoughts,difficult
2020/06/11 1:11:28 ?¤í›„ GMT+9,Yes,No,Positive,Nothing 
2020/06/11 1:13:16 ?¤í›„ GMT+9,Yes,No,Neutral,It depends on the situation. I think IoT security can be a double-edged sword.
