date,user_name,text
2020-05-09,digital_trans4m,"2020 Current trends in IoT at Workplace Market Is Booming Worldwide| Global Industry Size, Growth, Segments, Revenue, Manufacturers - Cole of Duty #IoT #Security CC:@Ronald_vanLoon https://coleofduty.com/news/2020/05/09/2020-current-trends-in-iot-at-workplace-market-is-booming-worldwide-global-industry-size-growth-segments-revenue-manufacturers/"
2020-05-09,SoftClouds,#IoT Plays an Important Role in #Pharmaceutical Manufacturing https://hubs.ly/H0qlnwM0 #Healthcare #Technology @analyticsinme @iotforall @iotguide @IoTSecurity @davidgsIoT @IOThing @Semiotis @IoT_tt @IOTSWC @TheIoTCloud @IIConsortium @TheIoTCloud @iot_edge
2020-05-09,ajohnsocyber,Microsoft Shells Out $100K for IoT Security | Threatpost 
2020-05-09,KirkDBorne,"With billions & billions of #IoT connected devices, security is a really big challenge. Learn how to tackle that challenge with @BoozAllen's Field Guide to IoT Security: https://dy.si/932UL ———— #IIoT #IoTPL #ConnectedProducts #CyberSecurity #Infosec #DataSecurity #Industry40"
2020-05-09,MyTechMusings,"Interesting discussion. No doubt #eSIM is the future, But discrete chip or integrated into #SoC ( #iSIM ). If latter @Arm @Qualcomm &amp; other #SoC vendors survive; @Gemalto have to evolve. My report on #IoT #security https://bit.ly/3dBMNsm #cybersecurity #IoTsecurity "
2020-05-09,jjsantaolalla,Detecting and Mitigating IoT Breaches Require An “Inside-out” Approach to Security -m 
2020-05-09,RayWitselHA,I blocked 1568 ads. That is 0.73% of my internet traffic. #PiHole #Security Status:(Offline) #IOT #SmartHome
2020-05-09,sigmaridge,Kubernetes + Cisco Container Platform: Petascale Genetic Research https://oal.lu/76RX8 For more info: https://oal.lu/V9kua #data #security #bigdata #Digitaltransformation #finance #cloud #cybersecurity #CEO #cmo #digital #marketing #microsoft #IOT #internetofthings #dell
2020-05-09,mancavebits,"Sources: Microsoft to buy Israel-based CyberX, which develops security products for IoT and industrial systems, for https://mancavebits.com/sources-microsoft-to-buy-israel-based-cyberx-which-develops-security-products-for-iot-and-industrial-systems-for-165m-cyberx-has-raised-48m-to-date-ruti-levy-haaretz/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost"
2020-05-09,software4iot,APIMOTE (FOR ZIGBEE SNIFFING AND TRANSMISSION) http://bit.ly/2RoyajD #IoTSecurity #ConnectedDevices #SmartTech 1
2020-05-09,thomas_quinlan,"Out of sight, out of mind? Unauthorized connected devices on rise as workers become #Remote, leaving security gaps for attackers to exploit. Read the @zscaler #IoT report: https://bit.ly/ZS_Enterprise_IoT #DigitalTransformation #CyberSecurity #SASE #ZTNA #WFH"
2020-05-09,velez1066,"How often are factories under attack, and what kind of attacks do they suffer? Find out in @TrendMicro's upcoming #webinar, Real Threats and Security Strategies for Smart Factories. Register now: https://bit.ly/2KVLuah #IoT #IIoT"
2020-05-09,startupnws,"Global IoT Security Market, By Component, By Deployment, By Enterprise, By Security Type, By Application, By Region, Competition, Forecast &amp; Opportunities, 2025 https://www.globenewswire.com/news-release/2020/05/04/2026463/0/en/Global-IoT-Security-Market-By-Component-By-Deployment-By-Enterprise-By-Security-Type-By-Application-By-Region-Competition-Forecast-Opportunities-2025.html #Iot"
2020-05-09,arjenvanberkum,Take these 7 steps to enhance your #IoT security. » http://ow.ly/6mON30qEEDA #InternetofThings #BigData #Tech #Automation
2020-05-09,SMontigaud,"IoT Security Market Statistics 2020: Size &amp; share, latest trend and future scope, security type, emerging technologies and challenges with coronavirus effect analysis https://buff.ly/3fwFTW9"
2020-05-09,LogZilla,Dependency on digital connectivity is real – do you know what remains vital to grow our connected world? https://bit.ly/34POK0f #Data #Cyber #SupplyChain #AI #DataPrivacy #Breach #Security #WiFi #5G #IoT #IIoT #WiFi6 #BigData
2020-05-09,igent_io,4 ways to make sure your IoT sensors are secure #iot #iiot #security https://www.techrepublic.com/article/4-ways-to-make-sure-your-iot-sensors-are-secure/
2020-05-09,TheTechCove1,You will rarely find a home or business without #smartdevices in 2020. But are they secure? Learn about the top smart home device's security options today! #IoT via @CLT_ITSolutions https://buff.ly/37rAY3m
2020-05-09,gp_pulipaka,The 11 Best Cyber Security Books. #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode https://bit.ly/2UHWGfo
2020-05-09,iot_explosion,#ai #iot #azure #security 
2020-05-09,ConnectedWMag,Barbara Rembiesa .@IAITAM says for employee security there is a lot of productivity software and technology to determine if there is risk. https://peggysmedleyshow.com/securing-our-assets #IoT #sustainability #AI #5G #cloud #edge #digitaltransformation #PeggySmedley #cybersecurity #podcast
2020-05-09,software4iot,ZIGBEE SECURITY RESEARCH TOOL http://bit.ly/2Rrw6r8 #IoTSecurity #IoT #SmartTech 1
2020-05-09,RustySowers,"A clinic on why Red Team cannot be automated. A clinic on enterprise home user security postures and impacts, especially w/ cloud. #WFHexposed ⁦@strandjs⁩ #redteam #CyberSecurity @securityweekly #DevOps #Cloud #vulnerabilities #API #stack #IoT "
2020-05-09,SuriyaSubraman,Globally Leading Manufacturers of IoT Security Solution for DSP product Scale up Production to ... http://dlvr.it/RWKzP9 #iot #data #internetofthings
2020-05-09,digital_trans4m,"Global IoT Security Software Market 2020 Trending vendors – Cisco Systems, Intel Corporation, IBM Corporation, Symantec Corporation, Trend Micro | Impact of COVID-19 - Bandera County Courier #IoT #Security CC:@Ronald_vanLoon"
2020-05-09,sm_innovations,AWS can help you enhance your Internet of Things experience. It offers services for all layers of #IoT security so you can securely transmit data even when your internet connection isn't the best. Here's our overview of some of the services: 
2020-05-09,RW_Security,"Microsoft Challenges Security Researchers to Hack Azure Sphere: Participants can earn up to $100,000 for finding severe flaws in Microsoft's Linux-based Azure Sphere IoT operating system. https://j.mp/2YPWSge"
2020-05-09,igent_io,Cyber Mingle #iot #iiot #security https://www.mattysparadigm.org/biblios-blood/cyber-mingle/
2020-05-09,sigmaridge,Going Remote: Succeeding with Simplified Lifecycle Solutions https://oal.lu/5Bu8g For more info: https://oal.lu/wRNaQ #data #security #bigdata #Digitaltransformation #finance #cloud #cybersecurity #CEO #cmo #digital #marketing #microsoft #IOT #internetofthings #dell #cto
2020-05-09,ciphernews,12/30/20: Special Issue of Electronics on Security &amp; Privacy for IoT &amp; Multimedia Services (SI-Electronics-SnP-IoT-n-Multidmedia); 
2020-05-09,CurtBraz,"Took this self-isolated opportunity to finally improve some of my very old GitHub projects. My IoT Garage Door RPi opener now uses only Python3 and leverages POST over HTTPS to protect the token. I also updated ""WhosHere"", my physical security WiFi project. Feels good! #OldToDos"
2020-05-09,htownsmitty,"Or maybe instead of a labor strike you have an education fair to encourage youth to learn skills that will be valuable in the future economy? Right now we have tons of cyber security, AI, IoT, networking engineering, etc. jobs that are unfilled by Americans."
2020-05-09,SmartHome_insta,Give your home that modern look. hour home lighting designers will help you turn your home into a masterpiece. Visit our website for more information http://sma.mercenary-audio.com #smarthome #homeautomation #technology #security #smarthometechnology #iot #losAngeles #Orangecounty
2020-05-09,QualitiaEnergy,"Microsoft is offering hackers up to $100,000 to hack into Azure Sphere OS — one that powers its Internet-of-Things (IoT) end-to-end security platform. #azure https://techlog360.com/hack-microsoft-custom-linux-os-get-reward/"
