Date,Rank.,Name,UpDown,Change_Amount
20200413,1,1917,=,0
20200413,2,지푸라기라도 잡고 싶은 짐승들,+,1
20200413,3,엽문4: 더 파이널,-,1
20200413,4,코로나,=,0
20200413,5,오픈 더 도어,+,1
20200413,6,주디,-,1
20200413,7,신과 나: 100일간의 거래,+,2
20200413,8,n번째 이별중,-,1
20200413,9,인비저블맨,-,1
20200413,10,반도,+,1
20200413,11,더 터닝,-,1
20200413,12,사랑이 뭘까,+,1
20200413,13,사냥의 시간,+,1
20200413,14,다크 워터스,-,2
20200413,15,라라랜드,=,0
20200413,16,건즈 아킴보,=,0
20200413,17,조선주먹,=,0
20200413,18,유령선,+,6
20200413,19,서치 아웃,+,9
20200413,20,작은 아씨들,-,2
20200413,21,공수도,=,0
20200413,22,마이 스파이,+,3
20200413,23,시체들의 새벽: 컨테이젼,-,4
20200413,24,정직한 후보,-,4
20200413,25,내부고발자: 도시영웅,+,1
20200413,26,나쁜 녀석들 : 포에버,-,3
20200413,27,꼴통 2인조,+,2
20200413,28,젠틀맨,-,1
20200413,29,스케어리 스토리: 어둠의 속삭임,-,7
20200413,30,비이 2,+,1
20200413,31,낮손님,+,3
20200413,32,사랑하고 있습니까,+,1
20200413,33,경호원,+,2
20200413,34,기도의 힘,-,2
20200413,35,바이올렛 에버가든 - 영원과 자동 수기 인형 -,-,5
20200413,36,시체들의 새벽,+,14
20200413,37,라라걸,+,8
20200413,38,기생충,+,1
20200413,39,다니엘 이즌 리얼,-,2
20200413,40,그녀의 비밀정원,+,6
20200413,41,클로젯,-,1
20200413,42,더 커리어,-,6
20200413,43,어벤져스: 엔드게임,+,2
20200413,44,원스 어폰 어 타임... 인 할리우드,-,3
20200413,45,그린 북,-,2
20200413,46,날씨의 아이,+,2
20200413,47,마녀,-,9
20200413,48,킹스맨: 퍼스트 에이전트,-,1
20200413,49,설화,+,4
20200413,50,헌트,-,1
20200414,1,1917,=,0
20200414,2,지푸라기라도 잡고 싶은 짐승들,=,0
20200414,3,엽문4: 더 파이널,=,0
20200414,4,코로나,=,0
20200414,5,오픈 더 도어,+,1
20200414,6,주디,=,0
20200414,7,신과 나: 100일간의 거래,=,0
20200414,8,n번째 이별중,=,0
20200414,9,인비저블맨,=,0
20200414,10,반도,=,0
20200414,11,더 터닝,=,0
20200414,12,사랑이 뭘까,=,0
20200414,13,사냥의 시간,=,0
20200414,14,라라랜드,+,1
20200414,15,건즈 아킴보,+,1
20200414,16,조선주먹,+,1
20200414,17,유령선,+,1
20200414,18,다크 워터스,-,4
20200414,19,서치 아웃,=,0
20200414,20,마이 스파이,+,2
20200414,21,공수도,=,0
20200414,22,작은 아씨들,-,2
20200414,23,정직한 후보,+,1
20200414,24,나쁜 녀석들 : 포에버,+,2
20200414,25,꼴통 2인조,+,2
20200414,26,시체들의 새벽: 컨테이젼,-,3
20200414,27,내부고발자: 도시영웅,-,2
20200414,28,젠틀맨,=,0
20200414,29,낮손님,+,2
20200414,30,사랑하고 있습니까,+,2
20200414,31,비이 2,-,1
20200414,32,기도의 힘,+,2
20200414,33,스케어리 스토리: 어둠의 속삭임,-,4
20200414,34,경호원,-,1
20200414,35,찬실이는 복도 많지,+,50
20200414,36,라라걸,=,0
20200414,37,시체들의 새벽,-,1
20200414,38,비밀정보원: 인 더 프리즌,+,13
20200414,39,바이올렛 에버가든 - 영원과 자동 수기 인형 -,-,4
20200414,40,그녀의 비밀정원,=,0
20200414,41,기생충,-,3
20200414,42,날씨의 아이,+,5
20200414,43,클로젯,-,2
20200414,44,다니엘 이즌 리얼,-,5
20200414,45,어벤져스: 엔드게임,-,1
20200414,46,킹스맨: 퍼스트 에이전트,+,2
20200414,47,원스 어폰 어 타임... 인 할리우드,-,3
20200414,48,그린 북,-,3
20200414,49,헌트,+,1
20200414,50,설화,-,1
